station,departure_plan_datetime,category,long,lat,arrival_delay_m,departure_delay_m,departure_plan_hour,date,hour,day_of_week,state,city,temperature,rained
Albrechtshof,2024-06-25 08:00:00,5.0,13.128916999999998,52.549396,4.0,4.0,8.0,2024-06-25,8,1,Berlin,Berlin,23.35,False
Albrechtshof,2024-06-25 09:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,9.0,2024-06-25,9,1,Berlin,Berlin,24.200000000000003,False
Albrechtshof,2024-06-25 10:00:00,5.0,13.128916999999998,52.549396,3.0,3.2,10.0,2024-06-25,10,1,Berlin,Berlin,24.85,False
Albrechtshof,2024-06-25 11:00:00,5.0,13.128917,52.549396,0.0,0.0,11.0,2024-06-25,11,1,Berlin,Berlin,25.549999999999997,False
Albrechtshof,2024-06-25 12:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,12.0,2024-06-25,12,1,Berlin,Berlin,26.049999999999997,False
Albrechtshof,2024-06-25 13:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,13.0,2024-06-25,13,1,Berlin,Berlin,26.45,False
Albrechtshof,2024-06-25 14:00:00,5.0,13.128916999999998,52.549396,0.0,0.0,14.0,2024-06-25,14,1,Berlin,Berlin,26.6,False
Albrechtshof,2024-06-25 15:00:00,5.0,13.128917,52.549396,0.0,0.0,15.0,2024-06-25,15,1,Berlin,Berlin,26.2,False
Albrechtshof,2024-06-25 16:00:00,5.0,13.128917,52.549396,0.0,0.3333333333333333,16.0,2024-06-25,16,1,Berlin,Berlin,25.5,False
Albrechtshof,2024-06-25 17:00:00,5.0,13.128917,52.549396,0.0,0.5,17.0,2024-06-25,17,1,Berlin,Berlin,24.450000000000003,False
Albrechtshof,2024-06-25 18:00:00,5.0,13.128916999999998,52.549396,4.0,3.6,18.0,2024-06-25,18,1,Berlin,Berlin,23.1,False
Albrechtshof,2024-06-25 19:00:00,5.0,13.128917,52.549396,0.0,0.1666666666666666,19.0,2024-06-25,19,1,Berlin,Berlin,22.0,False
Albrechtshof,2024-06-25 20:00:00,5.0,13.128916999999998,52.549396,1.0,0.6,20.0,2024-06-25,20,1,Berlin,Berlin,20.75,False
Albrechtshof,2024-06-25 21:00:00,5.0,13.128917,52.549396,1.0,1.0,21.0,2024-06-25,21,1,Berlin,Berlin,20.05,False
Albrechtshof,2024-06-25 22:00:00,5.0,13.128917,52.549396,0.0,0.0,22.0,2024-06-25,22,1,Berlin,Berlin,19.7,False
Albrechtshof,2024-06-25 23:00:00,5.0,13.128917,52.549396,0.0,0.0,23.0,2024-06-25,23,1,Berlin,Berlin,18.95,False
Albrechtshof,2024-06-26 00:00:00,5.0,13.128917,52.549396,0.0,0.0,0.0,2024-06-26,0,2,Berlin,Berlin,18.35,False
Albrechtshof,2024-06-26 02:00:00,5.0,13.128917,52.549396,0.0,0.0,2.0,2024-06-26,2,2,Berlin,Berlin,17.1,False
Albrechtshof,2024-06-26 03:00:00,5.0,13.128917,52.549396,0.0,0.0,3.0,2024-06-26,3,2,Berlin,Berlin,17.05,False
Albrechtshof,2024-06-26 04:00:00,5.0,13.128917,52.549396,0.0,0.0,4.0,2024-06-26,4,2,Berlin,Berlin,17.700000000000003,False
Albrechtshof,2024-06-26 05:00:00,5.0,13.128917,52.549396,0.0,0.5,5.0,2024-06-26,5,2,Berlin,Berlin,18.950000000000003,False
Albrechtshof,2024-06-26 06:00:00,5.0,13.128917,52.549396,0.0,0.0,6.0,2024-06-26,6,2,Berlin,Berlin,21.0,False
Albrechtshof,2024-06-26 07:00:00,5.0,13.128917,52.549396,2.0,1.8333333333333333,7.0,2024-06-26,7,2,Berlin,Berlin,23.5,False
Albrechtshof,2024-06-26 08:00:00,5.0,13.128916999999998,52.549396,0.0,0.2,8.0,2024-06-26,8,2,Berlin,Berlin,25.700000000000003,False
Albrechtshof,2024-06-26 09:00:00,5.0,13.128916999999998,52.549396,2.0,2.0,9.0,2024-06-26,9,2,Berlin,Berlin,27.5,False
Albrechtshof,2024-06-26 10:00:00,5.0,13.128917,52.549396,0.0,0.0,10.0,2024-06-26,10,2,Berlin,Berlin,28.549999999999997,False
